Nombre_Hoja,Campo
DATABASECOL,26_
DATABASECOL,27_
DATABASECOL,28_
DATABASECOL,29_
DATABASECOL,30_
DATABASECOL,31_
DATABASECOL,32_
DATABASECOL,33_
DATABASECOL,34_
DATABASECOL,35_Criterio de Búsqueda
DATABASECOL,36_E-000458
DATABASECOL,37_
DATABASECOL,38_
DATABASECOL,39_
DATABASECOL,40_
DATABASECOL,41_
DATABASECOL,42_
DATABASECOL,43_
DATABASECOL,44_
DATABASECOL,45_
DATABASECOL,46_
DATABASECOL,47_
DATABASECOL,48_
DATABASECOL,49_
DATABASECOL,50_
DATABASECOL,51_
DATABASECOL,52_
DATABASECOL,53_
DATABASECOL,54_
DATABASECOL,55_
DATABASECOL,56_
DATABASECOL,57_
DATABASECOL,58_
DATABASECOL,59_
DATABASECOL,60_
DATABASECOL,61_
DATABASECOL,62_
DATABASECOL,63_
DATABASECOL,64_
DATABASECOL,65_
DATABASECOL,66_
DATABASECOL,67_
DATABASECOL,68_
DATABASECOL,69_
DATABASECOL,70_
DATABASECOL,71_
DATABASECOL,72_
DATABASECOL,73_
DATABASECOL,74_
DATABASECOL,75_
DATABASECOL,76_
DATABASECOL,77_
DATABASECOL,78_
DATABASECOL,79_
DATABASECOL,80_
DATABASECOL,81_
DATABASECOL,82_
DATABASECOL,83_
DATABASECOL,84_
DATABASECOL,85_
AUXICERTIFCOL,1_Ramo
AUXICERTIFCOL,2_No. De Contrato
AUXICERTIFCOL,3_Fecha Emisión
AUXICERTIFCOL,4_Fecha inicio vigencia
AUXICERTIFCOL,5_Fecha fin vigencia
AUXICERTIFCOL,6_No. De recibo
AUXICERTIFCOL,7_Fecha inicio vigencia redcibo
AUXICERTIFCOL,8_Fecha fin de vigencia recibo
AUXICERTIFCOL,9_Tomador o Contratante
AUXICERTIFCOL,10_Cédula/Rif del Tomador
AUXICERTIFCOL,11_Dirección Comercial
AUXICERTIFCOL,12_Estado
AUXICERTIFCOL,13_Ciudad
AUXICERTIFCOL,14_Municipio
AUXICERTIFCOL,15_Zona Postal
AUXICERTIFCOL,16_Cantidad de Cuotas
AUXICERTIFCOL,17_Plan Contratado
AUXICERTIFCOL,18_Afiliado
AUXICERTIFCOL,19_Cédula del Afiliado
AUXICERTIFCOL,20_Parentesco
AUXICERTIFCOL,21_Certificado
AUXICERTIFCOL,22_Importe Anual
AUXICERTIFCOL,23_Importe del Recibo
AUXICERTIFCOL,24_Código intermed.
AUXICERTIFCOL,25_Nombre intermed.
AUXICERTIFCOL,26_Comisión
AUXICERTIFCOL,27_Fecha de Nacimiento
AUXICERTIFCOL,28_Edad
AUXICERTIFCOL,29_Sexo
AUXICERTIFCOL,30_Fecha de Ingreso
AUXICERTIFCOL,31_0.0
AUXICERTIFCOL,32_
AUXICERTIFCOL,33_0.0
AUXICOL,1_Contratante
AUXICOL,2_
AUXICOL,3_
AUXICOL,4_Rif
AUXICOL,5_
AUXICOL,6_Dirección Empresarial
AUXICOL,7_
AUXICOL,8_
AUXICOL,9_
AUXICOL,10_
AUXICOL,11_
AUXICOL,12_Estado
AUXICOL,13_Ciudad
AUXICOL,14_
AUXICOL,15_Mcpio
AUXICOL,16_Zona Postal
AUXICOL,17_No.De Contrato
AUXICOL,18_
AUXICOL,19_Fecha de Emisión
AUXICOL,20_No. De Recibo
Hoja1,1_Tiempo Inicio
Hoja1,2_Tiempo Final
Hoja1,3_Tiempo Transc.
Hoja1,4_Reloj
Hoja1,5_
Hoja1,6_
Hoja1,7_
Hoja1,8_
Hoja1,9_
Hoja1,10_
Hoja1,11_
Hoja1,12_
Hoja1,13_
Hoja1,14_
Hoja1,15_
Hoja1,16_
Hoja1,17_
Hoja1,18_
Hoja1,19_
Hoja1,20_
Hoja1,21_
Hoja1,22_
Hoja1,23_
Hoja1,24_
Hoja1,25_
Hoja1,26_
Hoja1,27_
Hoja1,28_
Hoja1,29_
RECIBOS,1_
RECIBOS,2_
RECIBOS,3_
RECIBOS,4_
RECIBOS,5_
RECIBOS,6_
RECIBOS,7_
RECIBOS,8_
RECIBOS,9_
RECIBOS,10_
RECIBOS,11_
RECIBOS,12_
RECIBOS,13_
RECIBOS,14_
RECIBOS,15_
RECIBOS,16_
RECIBOS,17_
RECIBOS,18_
RECIBOS,19_
RECIBOS,20_
RECIBOS,21_
RECIBOS,22_
RECIBOS,23_
RECIBOS,24_
RECIBOS,25_
RECIBOS,26_
RECIBOS,27_
RECIBOS,28_
RECIBOS,29_
RECIBOS,30_
RECIBOS,31_
RECIBOS,32_
RECIBOS,33_
RECIBOS,34_
RECIBOS,35_
RECIBOS,36_
RECIBOS,37_
RECIBOS,38_
RECIBOS,39_
RECIBOS,40_
RECIBOS,41_
RECIBOS,42_
RECIBOS,43_
RECIBOS,44_
RECIBOS,45_
RECIBOS,46_
RECIBOS,47_
RECIBOS,48_
RECIBOS,49_
RECIBOS,50_
RECIBOS,51_
RECIBOS,52_
RECIBOS,53_
RECIBOS,54_
RECIBOS,55_
RECIBOS,56_
RECIBOS,57_
RECIBOS,58_
RECIBOS,59_
RECIBOS,60_
RECIBOS,61_
RECIBOS,62_
RECIBOS,63_
RECIBOS,64_
RECIBOS,65_
RECIBOS,66_
RECIBOS,67_
RECIBOS,68_
RECIBOS,69_
RECIBOS,70_
RECIBOS,71_
RECIBOS,72_
DASHBOARDS,1_Período del Pendiente
DASHBOARDS,2_Monto del pendiente
DASHBOARDS,3_Recibos pendientes
DASHBOARDS,4_
DASHBOARDS,5_
DASHBOARDS,6_
DASHBOARDS,7_
DASHBOARDS,8_
DASHBOARDS,9_
DASHBOARDS,10_
DASHBOARDS,11_
DASHBOARDS(2),1_
DASHBOARDS(2),2_
DASHBOARDS(2),3_
DASHBOARDS(2),4_
DASHBOARDS(2),5_
DASHBOARDS(2),6_
DASHBOARDS(3),1_
DASHBOARDS(3),2_
DASHBOARDS(3),3_
DASHBOARDS(3),4_
DASHBOARDS(3),5_
DASHBOARDS(3),6_
DASHBOARDS(4),1_
DASHBOARDS(4),2_
DASHBOARDS(4),3_
PALETA DE COLORES,1_[Color 0]
PALETA DE COLORES,2_[Color 0]
PALETA DE COLORES,3_#FFFFFF#FFFFFF
PALETA DE COLORES,4_255.0
PALETA DE COLORES,5_255.0
PALETA DE COLORES,6_255.0
PALETA DE COLORES,7_[Color 0)
RECIBOSCOL,1_
RECIBOSCOL,2_
RECIBOSCOL,3_
RECIBOSCOL,4_
RECIBOSCOL,5_
RECIBOSCOL,6_
RECIBOSCOL,7_
RECIBOSCOL,8_
RECIBOSCOL,9_
RECIBOSCOL,10_
RECIBOSCOL,11_
RECIBOSCOL,12_
RECIBOSCOL,13_
RECIBOSCOL,14_
RECIBOSCOL,15_
RECIBOSCOL,16_
RECIBOSCOL,17_
RECIBOSCOL,18_
RECIBOSCOL,19_
INACTIVOS,1_Bien venido
INACTIVOS,2_Bienvenida al módulo de suscripción de urgencias médicas
INACTIVOS,3_Por favor ingrese su ID de usuario
INACTIVOS,4_Y su login
INACTIVOS,5_
INACTIVOS,6_
CERTIFICADO,1_
CERTIFICADO,2_
CERTIFICADO,3_
CERTIFICADO,4_
CERTIFICADO,5_
CERTIFICADO,6_
CERTIFICADO,7_
CERTIFICADO,8_
CERTIFICADO,9_
CERTIFICADO,10_
CERTIFICADO,11_
CERTIFICADO,12_
CERTIFICADO,13_
CERTIFICADO,14_
CERTIFICADO,15_
CERTIFICADO,16_
CERTIFICADO,17_
CERTIFICADO,18_
CERTIFICADO,19_
CERTIFICADO,20_
CERTIFICADO,21_
CERTIFICADO,22_
CERTIFICADO,23_
CERTIFICADO,24_
CERTIFICADO,25_
CERTIFICADO,26_
CERTIFICADO,27_
CERTIFICADO,28_
CERTIFICADO,29_
CERTIFICADO,30_
CERTIFICADO,31_
CERTIFICADO,32_
CERTIFICADO,33_
CERTIFICADO,34_
CERTIFICADO,35_
CERTIFICADO,36_
CERTIFICADO,37_
CERTIFICADO,38_
CERTIFICADO,39_
CERTIFICADO,40_
CERTIFICADO,41_
CERTIFICADO,42_
CERTIFICADO,43_
Hoja2,1_USUARIOS AUTORIZADOS
Hoja2,2_0.0
Hoja2,3_SOLO PERSONAL TÉCNICO
DATACOMP,1_Contrato No:.
DATACOMP,2_Plan:
DATACOMP,3_Nombres y Apellidos del Afiliado
DATACOMP,4_Cédula:
DATACOMP,5_Fecha Nacim.:
DATACOMP,6_Edad
DATACOMP,7_Sexo:
DATACOMP,8_Parentesco:
DATACOMP,9_Fecha Ingreso:
DATACOMP,10_Importe:
DATACOMP,11_Fecha de emisión del Contrato:
DATACOMP,12_Vigencia Desde:
DATACOMP,13_Vigencia Hasta:
DATACOMP,14_Tomador o Contratante:
DATACOMP,15_Cédula/rif del Tomador:
DATACOMP,16_Dirección de Habitación
DATACOMP,17_Teléfono de Habitación:
DATACOMP,18_Dirección de Oficina
DATACOMP,19_Teléfono de Oficina:
DATACOMP,20_Celular:
DATACOMP,21_E-mail
DATACOMP,22_Número de Recibo:
DATACOMP,23_Vigencia Desde:
DATACOMP,24_Vegencia Hasta:
DATACOMP,25_Titular
DATACOMP,26_Cédula  / Rif del titular
DATACOMP,27_Dirección de Habitación
DATACOMP,28_Teléfono de Habitación:
DATACOMP,29_Dirección de Oficina
DATACOMP,30_Teléfono de Oficina:
DATACOMP,31_Celular:
DATACOMP,32_Email:
DATACOMP,33_Estado Civil:
DATACOMP,34_Importe anual:
DATACOMP,35_Importe del Recibo:
DATACOMP,36_Días del período de cob.del recibo:
DATACOMP,37_Afiliado 1er. Nombre
DATACOMP,38_Afiliado 2do.. Nombre
DATACOMP,39_Afiliado 1er. Apellido
DATACOMP,40_Afiliado 2do. Apellido
DATACOMP,41_Intermediario
DATACOMP,42_Código
DATACOMP,43_Comisión
DATACOMP,44_Ramo
DATACOMP,45_Importe anual para el recibo
DATACOMP,46_Importe de la cuota para el recibo
DATACOMP,47_Número de cuotas
DATACOMP,48_Comisión Recibo
DATACOMPCOL,1_Ramo
DATACOMPCOL,2_No. De Contrato
DATACOMPCOL,3_Fecha Emisión
DATACOMPCOL,4_Fecha inicio vigencia
DATACOMPCOL,5_Fecha fin vigencia
DATACOMPCOL,6_No. De recibo
DATACOMPCOL,7_Fecha inicio vigencia redcibo
DATACOMPCOL,8_Fecha fin de vigencia recibo
DATACOMPCOL,9_Tomador o Contratante
DATACOMPCOL,10_Cédula/Rif del Tomador
DATACOMPCOL,11_Dirección Comercial
DATACOMPCOL,12_Estado
DATACOMPCOL,13_Ciudad
DATACOMPCOL,14_Municipio
DATACOMPCOL,15_Zona Postal
DATACOMPCOL,16_Cantidad de Cuotas
DATACOMPCOL,17_Plan Contratado
DATACOMPCOL,18_Certificado
DATACOMPCOL,19_Importe Anual
DATACOMPCOL,20_Importe del Recibo
DATACOMPCOL,21_Código intermed.
DATACOMPCOL,22_Nombre intermed.
DATACOMPCOL,23_Comisión
DATACOMPCOL,24_Importe anual para el recibo
DATACOMPCOL,25_Importe de la cuota para el recibo
DATACOMPCOL,26_Comisión Recibo
FACTURA,1_
FACTURA,2_
FACTURA,3_
FACTURA,4_
FACTURA,5_
FACTURA,6_
FACTURA,7_
FACTURA,8_
FACTURA,9_
FACTURA,10_
FACTURA,11_
FACTURA,12_
FACTURA,13_CONTROL
FACTURA,14_FACTURA
FACTURA,15_FECHA ACTUAL
FACTURA,16_
FACTURA,17_
FACTURA,18_
FACTURA,19_
FACTURA,20_
FACTURA,21_
FACTURA,22_
FACTURA,23_
FACTURA,24_
FACTURA,25_
FACTURA,26_
FACTURA,27_Contrato No.
FACTURA,28_Recibo No.
FACTURA,29_Vig. Rec. Desde
FACTURA,30_Vig. Rec. Desde
FACTURA,31_Monto
FACTURA,32_Contratante
FACTURA,33_Cédula/Rif
FACTURA,34_Intermediario
FACTURA,35_Cód.
FACTURA,36_Estatus
FACTURA,37_
TARIFA,1_TARIFA DE IMPORTES ANUALES Y FRACCIONADOS PARA EDADES ENTRE 0 Y 65 AÑOS
TARIFA,2_
TARIFA,3_
TARIFA,4_
TARIFA,5_
TARIFA,6_
TARIFA,7_
TARIFA,8_
TARIFA,9_
TARIFA,10_
TARIFA,11_
TARIFA,12_
TARIFA,13_
TARIFA,14_
TARIFA,15_
TARIFA,16_INTERMEDIARIOS
TARIFA,17_
TARIFA,18_
TARIFA,19_
TARIFA,20_
TARIFA,21_
TARIFA,22_
TARIFA,23_
TARIFA,24_
TARIFA,25_
TARIFA,26_
TARIFA,27_USUARIOS AUTORIZADOS
TARIFA,28_
TARIFA,29_SOLO PERSONAL TÉCNICO
TARIFA,30_
TARIFA,31_
TARIFA,32_
TARIFA,33_
TARIFA,34_
TARIFA,35_
TARIFA,36_
TARIFA,37_
TARIFA,38_
TARIFA,39_
TARIFA,40_
TARIFA,41_
TARIFA,42_
TARIFA,43_
TARIFA,44_
TARIFA,45_
TARIFA,46_
TARIFA,47_
TARIFA,48_
TARIFA,49_
TARIFA,50_
TARIFA,51_Pregunta 1
TARIFA,52_Pregunta 2
TARIFA,53_No.
TARIFA,54_Pregunta 1
TARIFA,55_Pregunta 2
TARIFA,56_13.0
TARIFA,57_18.0
AUXILIAR,1_0824
AUXILIAR,2_0824
AUXILIAR,3_0824
AUXILIAR,4_0824
AUXILIAR,5_0824
AUXILIAR,6_0824
AUXILIAR,7_
AUXILIAR,"8_VALIDACIONES DE: MES/AÑO, NÚMERO DE CONTRATO, CÓDIGO DE RAMO, NÚMERO DE RELACIÓN DE INGRESO"
AUXILIAR,9_CONTROL
AUXILIAR,10_MES/AÑO
AUXILIAR,11_
AUXILIAR,12_AJUSTE FECHA NAC. FORMATO EUROPEO
AUXILIAR,13_
AUXILIAR,14_FECHA ACTUAL
AUXILIAR,15_EDAD
AUXILIAR,16_INIC. VIG. CONT.
AUXILIAR,17_FIN VIG. CONT.
AUXILIAR,18_FRACCIONAMIENTO
AUXILIAR,19_INIC. VIG. REC.
AUXILIAR,20_FIN VIG. REC.
AUXILIAR,21_Plan
AUXILIAR,22_Importe Anual
AUXILIAR,23_Importe del Recibo
AUXILIAR,24_FECHA DE INGRESO
AUXILIAR,25_Comisión Anual
AUXILIAR,26_Comisión del Recibo
AUXILIAR,27_VALIDACIÓN (TextBoxes & DataCells)
AUXILIAR,28_
AUXILIAR,29_
AUXILIAR,30_
AUXILIAR,31_Hora
AUXILIAR,32_0.5551851851851851
AUXILIAR,33_
